اَنوشا 	جاویدانبرگشت به لیست
بهاران 	هنگام بهار، موسم بهار؛ (به مجاز) زیبا و با طراوت.
بهارآفرین 	آفریننده بهار
بهاردخت 	دختر بهار
بهارک 	به معنای مانند بهار، همچون بهار؛ (به مجاز) زیبا با طراوت
بهارگل 	گلی که در بهار می روید.
بهارناز 	موجب فخر و نازش بهار
بهاره 	مربوط به بهار؛ به عمل آمده در بهار؛ منسوب به بهار.
بهارین 	منسوب به بهار، بهاری
به‌آفرید 	  نام دختر گشتاسپ پادشاه کیانی و خواهر اسفندیار
به‌آفرین 	نیک آفریده شده
به‌آیین 	دارای آیین بهتر
بهدخت 	نیک ترین دوشیزه
بهدیس 	مانند به (به میوه ای خوش عطر و بو)
بهرخ 	نیک چهره
بهرو 	نیکو چهره
بهشت 	پردیس، بهترین
بهکامه 	مرکب از به (بهتر، خوبتر) + کامه (آرزو)
بهگل 	نیکوترین گل
بهناز 	از نام های برگزیده
بهنوش 	نیکوترین نوشیدنی
بهین 	بهترین ، نیکوترین
بیتا 	بی مانند، بی همتا، یکتا
بیدار 	هشیار و سرزنده
بینا 	روشن، دل آگاه
پَرَند 	پروین، حریر ساده؛ گروهی از گیاهانبرگشت به لیست
پَرَندیس 	(پَرَن + دیس (پسوند شباهت) )، شبیه به پَرَن پَرَن، زیبارو، نرم و لطیف چون پرند
پَرَنسا 	همانند ابریشم و دیبا؛ زیبا و لطیف
پَرتو 	شعاعی که از منبع نورانی یا گرما ساطع می شود، درخشش، تلألؤ، روشنایی؛ اثر، تأثیر
پَردیس 	بهشت؛ فضای سبز و گل کاری شدهی اطراف ساختمان.
پَرنیان 	پارچه ای ابریشمی دارای نقش و نگار؛ پرده ی نقاشی
پاداش 	پاداش
پادمیرا 	جاویدان، نگهبان مهر، نگهدارنده عشق
پادنا 	اسم یکی از بخش‌های تابعه شهرستان سمیرم،
پادینا 	در گویش همدانی به گل پونه یا پودینه گفته می‌شود.
پارامیدا 	پارامیس، نام دختر بردیا و نوه کوروش پادشاه هخامنشی،
پاردیس 	پردیس
پارلا	(ترکی) به معنی درخشنده و نورانی – درخشنده و نورانی
پارمیدا 	پارامیدا، پارامیس، پرمیس
پارمیس 	پرمیس، نام دختر بردیا و نوه کوروش بزرگ پادشاه هخامنشی
پارمین 	تکه یا قطعه‌ای از بلور؛ نام زنِ داریوش.
پارنا 	نام قله‌ای در نزدیکی پل دختر
پارند 	نیک بختی و فرارونی؛ نگهبان گنج و خواسته
پاشنگ 	خوشه‌ی انگور
پاک سیما 	از نام های برگزیده
پاکبانو 	آناهیتا، بانوی پاک
پاکچهر 	خوش صورت
پاکدخت 	دختر پاک و عفیف
پاکدل 	پاکیزه دل، دلپاک، خوش قلب
پاکرخ 	پاکیزه رو، زیبا رو
پاکروز 	از نام های برگزیده
پاکروی 	پاکیزه روی، زیبا روی
پاک‌سیما 	دارای صورتی پاک و زیبا
پاکفر 	از نام های برگزیده
پاکناز 	دارای ناز خوش
پاکنوش 	پاک نوشنده
پالیز 	باغ
پامچال 	گلی زینتی به رنگهای سفید، صورتی، یا نارنجی
پانته‌آ 	پایدار، نگهبان نیرومند، نام همسر آبرداتاس که در زمان کوروش، پادشاه شوش بود
پانتی 	نام همسر آریاسب از سرداران کوروش پادشاه هخامنشی
پانیا 	محافظ نگهدارنده
پانیذ 	پانید، قند مکرر، شکر، شکر برگ،
پانیک 	کسی که قدمش نیک است، خوش قدم
پایون 	پیرایه، زیور، آرایش
پاییز 	هنگام پاییز، برگ ریزان، مجازا دختر زیبا رو
پاییزان 	هنگام پاییز
پدیده 	پدیدار؛ شخص، چیز یا حادثه‌ی چشمگیر.
پرتو 	فروغ، روشنایی
پرخیده 	سخن سربسته
پردیس 	باغ بهشت
پرسا 	نرم و لطیف مانند پر.
پرستش 	نیایش، عبادت
پرستو 	پرنده‌ای سیاه و سفید با بال های باریک که مهاجر است.
پرستوک 	پرستو، نام اصیل پارسی
پرسون 	برهون هاله، خرمن ماه
پرشت 	پر آرزو
پرگل 	(به فتح پ) هر یک از گلبرگهای گل
پرمون 	زینت و آرایش
پرند 	پارچه ابریشمی
پرنیان 	حریر ، دیبا
پروا 	ملاحظه، فرصت و زمان پرداختن به کاری، فراغت و آسایش، توجه
پروانه 	از نام های برگزیده
پروین 	نام ستاره‌ای
پری 	زن زیبا
پری بانو 	از نام های برگزیده
پری سیما 	زیبا روی
پریچهر 	فرشته رو، زیبا مثل پری؛ زیبارو
پریدخت 	از نام های برگزیده
پریرخ 	پری رو، پری رخسار، خوبروی
پریروی 	خوشگل، زیبا رو
پریزاد 	فرزند پری، فرزند زیبا
پریسا 	مانند پری
پریسان 	از نام های برگزیده
پریفام 	زیبا چهره
پریگون 	مانند پری
پریماه 	زیبا چون ماه و پری
پریمرز 	از نام های برگزیده
پریناز 	از نام های برگزیده
پریوش 	پری مانند
پگاه 	سحر، بامداد
پوپک 	  هدهد
پودینه 	پونه
پوران 	از نام های برگزیده
پوروچیستا 	نام کوچکترین دختر اشوزرتشت
پونه 	بوته و گلی خوشبو
پیچک 	گیاهی زینتی که ساقه ای بالا رونده دارد.
پیراسته 	با نظم، با آرایش
پیرایه 	آراسته، آرایش
پیروزه 	از سنگ های قیمتی
پینار 	به چشمه، سرچشمه

تَرَنُم 	آواز خوشبرگشت به لیست
تَرلان 	مرغی از جنس باز شکاری را گویند؛ (در کردی) به زیبا؛ نام نوعی اسب است.
تَرنّم 	خواندن شعر، ترانه، و مانند آن ها
تَندُر 	بلبل
تَندیس 	مجسمه؛ بت، تصویر برجسته، تمثال؛ (به مجاز) زیباروی.
تُرنج 	نام میوه ای است
تِلما 	گندمگون
تِهرت 	نام دختر میانه اشوزرتشت
تِیتَک 	شبکیه چشم به زبان پهلوی
تابا 	طاقت، پیچ و تاب زلف، فروغ، تابنده، تابان
تابان 	دارای نور و روشنی، درخشان، روشن
تابانمهر 	از نام های برگزیده
تابش 	نورافشان
تابناک	پرتو، نورانی
تابناک 	 جذاب، روشن و درخشنده
تابنده 	 آنچه می‌تابد و نورافشانی می‌کند، درخشان.
تاتیانا 	تاتینا، پرنده شکاری
تاتین 	 پرنده‌ای شکاری
تاج آفرین 	 آفریننده تاج، به وجود آورنده تاج
تاج بانو 	 ملکه، شاهزاده خانم
تاج خاتون 	 ملکه، شاهزاده خانم
تاج دخت 	 تاج (کلاه پادشاهی، افسر) + دخت (دختر)
تاج گل 	 آن که چون تاجی در رأس گلها است، زیبا
تاج ماه 	 آن که چون تاجی بر سر ماه است، بسیار زیبا
تاج مهر 	 آن که چون تاجی بر سر خورشید است، یا دسته گلی به شکل تاج، بسیار زیبا
تارا	ستاره کوکب مردمک چشم
تارادخت 	 دختر ستاره، دختر چون ستاره، (به مجاز) دختر زیبا، صاحب حسن و کمال
تارادیس 	 مانند ستاره
تازه 	جدید، پرتراوت، لطیف
تاژ 	 لطیف، نازک، نام پسرفرواک برادر هوشنگ پادشاه پیشدادی
تافته 	 گداخته، درخشنده و تابناک، روشن، نوعی پارچه ابریشمی
تاک آفرین 	 مرکب از تاک (درخت انگور) + آفرین (آفریننده)
تاکدخت 	 مرکب از تاک (درخت انگور) + دخت (دختر)
تالین 	 پایتخت کشور استونی، برکناره‌ی جنوبی خلیج فنلاند از بندرهای عمده‌ی دریای بالتیک.
تامیلا 	از روی امیدواری، امیدوارانه؛ در برخی منابع به بخشنده
تانسو 	 زلالی چشمه، تمیزی و پاکی و زیبایی
تانیا 	در فارسی به معنی دختر یگانه و بی مانند
تبسّم 	لبخند، خنده ی بدون صدا؛ (به مجاز) درخشیدن
تخشک 	خوبرو و زیبا
تذرو 	نام دختر داریوش سوم هخامنشی
ترانه 	قطعه آوازی، هر صدایی که حالت موسیقایی داشته باشد.
ترگل 	 گل تازه و شاداب
ترلان  	زیبا؛ نام نوعی اسب است.
ترمه 	نوعی پارچه (قیمتی) از جنس کرک، پشم، یا ابریشم
ترنج 	 بالنگ؛ طرحی مرکّب از طرح‌های اسلیمی
ترنگ 	آواز تارهای ساز
ترنیان 	 سبدی که از شاخه های بید می‌بافند
تروند 	 میوه تازه رسیده، نوبر
تریتی 	نام دختر میانه اشوزرتشت
تسنیم 	رودی در بهشت (سوره مطففین)
تشتر 	نام ستاره تیر. نگهبان باران
تکاو 	نام یکی از آهنگ های نامی باربد
تکتم 	نام چاه زمزم،نام مادر امام رضا ،بانوی رازدار و رازنگهدار
تلّی 	دختری که گیسوی بلند و زیبا دارد، زلف دار؛ زباندار و سخنور.
تمنا	خواهش، درخواست، آرزو
تمیس 	گیاهی بالا رونده
تناز 	نام مادر لهراسب. دختر آرش
تنبور 	نوعی ساز، دنبره
تندیس 	پیکره، تصویر
توار 	پرنده , نام کوهی در شمال ایران، شهرستان چالوس
توتیا 	از آبزیان دریایی که در بستر دریا زندگی می کند؛ گردی که به عنوان سُرمه استفاده می کنند.
توران 	از نام های برگزیده
تورانبانو 	از نام های برگزیده
توراندخت 	از نام های برگزیده
توسکا 	 توسا، درختی بلند و جنگلی که در مناطق مرطوب و کنار آبها می‌روید.
توکا 	 پرنده‌ای از خانواده گنجشک با منقاری باریک وتنی رنگارنگ
تهمینه 	زن رستم و مادر سهراب
تیارا 	تیه در گویش لری به معنای چشم و آرا به معنای آراینده می باشد، چشم آرا، زیبا
تیسا 	در گویش مازندران خالص
تینا 	در عربی (طین) به معنی گِل سرخ
تیهو 	پرنده‌ای خوش رنگ

ثَمینا 	(ثمین + الف نسبت) منسوب به ثمین، ثمینبرگشت به لیست
ثریا	(عربی) پروین (نام ستاره ای در منظومه شمسی)
ثمر 	میوه؛ (به مجاز) نتیجه و حاصل
ثمره 	میوه؛ (به مجاز) نتیجه و حاصل
ثمن 	بها، قیمت
ثمین	(عربی) گرانبها، ارزشمند، قدیمی
ثمین 	گرانبها، قیمتی، گران
ثمینا 	گرانبها و ارزشمند (ترکیبی عربی -فارسی)
ثمینه 	گران بها، قیمتی، گران
ثنا	ستایش خداوند، حمد خداوند، شکر، دعا

جَمیله 	مؤنث جمیل، جمیل؛ زیبابرگشت به لیست
جُمانه	یک دانه مروارید، یک دانه لؤلؤ؛ نام دختر ابوطالب و خواهر حضرت علی(ع)
جالیز 	کشتزار
جام 	پیاله، ساغر
جان افروز 	 (به مجاز) آسایش بخش روان
جان بانو 	 بانویی که چون جان عزیز است.
جان پرور 	از نام های برگزیده
جان نواز 	 آرامش دهنده جان، محبوب
جانا 	 ای جان، ای عزیز
جانان 	معشوق، محبوب؛ خوب
جانانه 	 محبوب، معشوق، (در تصوف) (به مجاز) خداوند
جاندخت 	 محبوبه، معشوقه، دختری که چون جان عزیز است.
جانمهر 	از نام های برگزیده
جلبک 	گیاه سبز آبزی
جلگه 	زمین پهناور
جلوه 	 نمایان شدن، خود را آشکار کردن، خودنمایی؛ (به مجاز) زیبایی، جاذبه
جلیله 	 مؤنث جلیل
جمانه 	 یک دانه مروارید، یک دانه لؤلؤ؛ نام دختر ابوطالب و خواهر حضرت علی(ع)
جمدخت 	 جم (پادشاه بزرگ) + دخت (دختر)
جنان 	 بهشت؛ باغها
جنت 	 بهشت، فردوس
جوانه	تازه، نو؛ جوان
جوانه 	جوان، جوانی،رویش
جواهر 	 هر یک از سنگ های گران بها مانند یاقوت و زمرد؛
جویبار 	کنار جوی آب
جهان آوا 	 مرکب از جهان (عالم، گیتی) + آوا (صدا، بانگ)
جهان بانو 	 بانوی جهانیان
جهان خاتون 	 خاتون جهانیان، بانوی جهانیان، شاعره ایرانی در قرن هشتم
جهان ماه 	 آن که در جهان چون ماه می درخشد، زیبا
جهان ناز 	 مایه افتخار جهان، فخر جهان
جهانتاب 	 آنچه به جهان نور و روشنایی میدهد، عالمتاب، نور دهنده جهان
جهاندخت 	 دختر شهره در عالم
جهانرخ 	 مرکب از جهان (عالم، گیتی) + رخ (چهره، صورت)
جیحون 	رود بزرگ، رود، نام رودی در آسیای میانه
جیران 	 آهو (به مجاز) معشوقِ زیبا؛ چشمِ زیبا

چَمان 	خرامانبرگشت به لیست
چام 	ناز و عشوه
چامه 	 شعر، شعری که با آواز خوانده می‌شود.
چرمه 	 اسب به ویژه اسب سفیدرنگ
چشمه 	 مکانی که آب زیرزمینی در آنجا به طور طبیعی در سطح زمین ظاهر می‌شود.
چکامه 	 شعر به ویژه قصیده.
چکاو 	نام پرنده ای خوش آواز
چکاوک 	 پرنده‌ای خوش آواز و کمی بزرگ‌تر از گنجشک که تاج بر سر دارد.
چکاوه 	 چکاوک
چلچله 	 پرستو
چمان 	  آن که می‌خرامد و با ناز حرکت می‌کند، خرامان، رونده، راهوار،
چمانه 	 پیاله شراب
چمن 	 زمین سبز و خرم، باغ و بوستان مرغزار؛ نام گیاهی از تیره‌ی غلات.
چمن افروز 	 آن که یا آنچه زینت دهنده چمن است، تاج خروس
چمن آرا 	 زینت دهنده باغ، باغبان، آنچه موجب زیبایی و آراستگی باغ و بوستان است.
چمن چهر 	 آن که چهره‌ای زیبا چون باغ و بوستان دارد.
چمن ناز 	 زیبارویی که دارای ناز و عشوه و کرشمه است.
چنور 	  گیاهی خوشبو شبیه به شوید، که در بعضی از مناطق کردستان می‌روید.
چوک 	چشمه
چهرآذر 	  آذرچهر، دارای چهره‌ای چون آتش
چهرآرا 	 آراینده چهره
چهرزاد 	 نژاد و اصیل، لقب هما، دختر بهمن در شاهنامه
چهرمینو 	 آن که چهره‌ای زیبا چون بهشت دارد.
چهره 	 روی، صورت
چهره گل 	 آن که چهره‌ای زیبا چون گل دارد.
چیترا 	از نام های برگزیده
چیستا 	 نام فرشته دانش و معرفت
چیستی 	دانش و آگاهی
چیکا 	نوعی پرنده (ریشه گیلکی)
چیلانه 	 درخت عناب

حَلیا 	زیور و آرایشبرگشت به لیست
حِلما 	جمع حَلیم، بردباران، صبوران
حاتمه 	 مؤنث حاتم به معنی حاکم، قاضی، داور
حارثه 	 مؤنث حارث، زن کشاورز
حاصل 	نتیجه
حامده 	 مؤنث حامد، سپاسگزار
حانی 	 (دخترانه و پسرانه) میش یا گاو وحشی
حانیه 	 مهربان، دلسوز
حبه 	دانه‌ی بعضی از میوه‌ها و گیاهان
حبیبه 	 مؤنث حبیب، دوست، یار، معشوقه
حدیث 	عشق، سودا
حدیثه 	نو و تازه
حدیقه 	 باغ
حرمت 	احترام
حره 	 دختر آزاده ،از اسامی حضرت زهرا، از القاب بانوان اشرافی
حریر 	ابریشم
حریه 	 حُره
حسِیبا 	 دارای اصل و نسب، پاک نژاد، پاکزاد و اصیل
حسْنا 	 زیبا، زن زیبا
حسانه 	زن بسیار نیکو
حسنا 	 نیک، پسندیده
حسنه 	خوب، نیک، پسندیده
حسنی 	نیکو،پسندیده
حسنیه 	نیکوتر، کار نیک، عاقبت نیکو
حسیبا 	مرکب از حسیب به معنای پاک نژاد و پاکزاد و الف نسبت ، دختر با اصل و نسب
حسیبه 	دارنده‌ی نام و شرف و بزرگی
حفصه 	اسد، شیر؛
حفیظه 	 موکّل به چیزی؛ حافظ و محفوظ
حکیمه 	 مؤنث حکیم، زن حکیم و دانشمند
حلما 	 جمع حَلیم، بردباران، صبوران.
حلیا 	آنچه در چشم خوش میدرخشد (حلی+ا)
حلیمه 	 مؤنث حلیم، زن خویشتن دار، صبور و با تحمل، دختر بردبار
حلیه 	 زینت، پیرایه، زیور؛ مشخصات صورت و اندام
حماسه 	کاری افتخار آفرین، نوعی شعر، دلیری، شجاعت، بی باکی
حمده 	 سپاس و شکرگزاری
حمرا 	 سرخ رنگ
حمیده 	 مؤنث حمید، ستوده، پسندیده؛ مادر امام موسی کاظم(ع).
حمیرا 	مصغّر حمرا، زن سرخ و سپید، زن سرخ
حنّان 	آرزومند، مشتاق؛ بخشاینده
حنّانه 	 بسیار نوحه کننده، ناله کننده
حنا 	گیاهی درختی که گل های سفید و معطر دارد، گرد بسیار نرم سبز رنگی از گیاهی به همین نام.
حنان 	بسیار مهربان ،یکی از نامهای خداوند ،در دعای جوشن کبیر می تونید ببینید
حنانه 	ﻣﻬﺮﺑﺎﻥ ، ﺑﺨﺸﺎﯾﻨﺪﻩ ، ﺑﺴﯿﺎر ﻧﺎﻟﻪ ﮐﻨﻨﺪﻩ
حنظله 	مفرد حَنظل
حنیسه 	 زن شجاع
حنیفا 	حق ،راست(لقب ادیان توحیدی و مسلک حضرت ابراهیم)
حنیفه	حق ،راست(لقب ادیان توحیدی و مسلک حضرت ابراهیم)
حنیفه 	مؤنث حنیف، دختر درست و پاک
حوا 	 نخستین زنی که خدا آفرید، همسر حضرت آدم(ع)
حور 	 زن زیبای بهشتی
حورا 	حور، زن زیبای بهشتی؛ زنِ سفید پوستِ سیاه چشم و موی. ریشه
حورالعین 	 زن یا زنان سفیدپوست درشت چشم
حورآسا 	  آن که چون حور زیباست.
حورآفرین 	  مرکب از حور (زن زیبای بهشتی) + آفرین (آفریننده)
حورجهان 	 آن که چهره‌ای زیبا چون حور دارد.
حوردیس 	  آن که چون حور زیباست.
حوررخ 	 حور , آن که چهره‌ای زیبا چون حور دارد.
حورزاد 	 زاده حور، زیبا
حوروش 	  دختری چون زن (زنان) زیبای بهشتی.
حوری 	 حور؛ زن زیبا
حوری بانو 	 حور , زن زیبای بهشتی
حوری دخت 	 حور ,  مرکب از حوری (زن زیبای بهشتی) + دخت
حوری رخ 	 حور , آن که چهره‌ای زیبا چون حوری دارد.
حوری زاد 	 حور , زاده حوری، زیبا
حوری لقا 	 آن که چون حوری زیباست.
حوریا 	 از حوری به معنی فرشته بهشتی می‌آید، آن که چون حور زیباست.
حوریه 	 زن سفید پوست و زیباروی.
حیات 	 زندگی، زیست
حیفا 	 نام بندری در فلسطین

خرمن	توده غله درو شده، توده و مقدار انبوه از هر چیزبرگشت به لیست
خَضرا 	 (مؤنث اخضر) به معنی سبز، کبود، نیلگون، و آبی و سبز؛ سبزه‌زار، چمن‌زار.
خَلف 	 فرزند صالح، شایسته؛ جانشین؛ (به مجاز) پیروی کننده از پدر در اخلاق و کردار
خُتن 	 نام شهری در ترکستان شرقی، (به مجاز) زیباروی.
خُرّم 	 سرسبز و با طراوت؛ شاد، خوشحال، خوب، خوش؛ فرخنده، مبارک.
خُوروَش 	همانند خورشید
خاتَم 	فرمان، حکم و پایان؛ نام شهرستانی در جنوب استان یزد.
خاتون 	لقب زنان اشرافی، لقب همسر خاقان چین که انوشیروان دختر او را به همسری برگزید
خاتونک 	 خاتون (بانو) + ک، بانوی کوچک، نام روستایی در نزدیکی شیراز
خارا 	 نوعی سنگ آذرین، نام یکی از گوشه‌های موسیقی ایرانی
خارک 	 نوعی خرمای زرد و خشک
خاطِره 	یادبود، یاد، ذهن، حافظه، خاطر.
خاطرافروز 	 خاطر (عربی) + افروز (فارسی) شادی بخش
خاطرآسا 	خاطر (عربی) + آسا (فارسی) آسایش دهنده خاطر
خاطرنواز 	 خاطر (عربی) + نواز (فارسی) دلکش، مطبوع
خالِده 	 مؤنث خالد
